object,turn,question,answer,eig,H_prior,H_post,kl,wasserstein,tv,cosine,euclidean,directional,gini_drop,margin_gain,rr_change,ndcg_gain,hybrid,js_divergence,semantic_shift,entropy_constrained_margin,surprisal_adj_belief_shift,fisher_info,normalized_kl,normalized_margin,calibrated_eig,log_odds_gain,entropy_weighted_conf_gain,cross_entropy_reduction,kl_to_truth_reduction,delta_surprisal,sem_info_cosine,sem_info_euclidean,sem_info_dot
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Football, hiking, camping, and cooking.",-0.321533203125,0.214599609375,0.5361328125,0.048919677734375,0.115478515625,0.089599609375,0.001953125,0.10595703125,,-0.1585693359375,-0.14111328125,,,0.138519287109375,,0.9984150528907776,-0.6575653846030965,0.21085166931152344,1.859375,0.22795789608969805,-0.6575653846030965,-1.4982934455402737,1.443359375,0.01115959882736206,1.38671875,1.38671875,1.38671875,0.2638629674911499,0.712504506111145,-0.7057775259017944
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself thinking about or discussing with others, even if they aren't directly related to your hobbies or leisure activities?",Economic trends and market analysis.,-0.07763671875,0.214599609375,0.292236328125,0.0157318115234375,0.046875,0.03216552734375,0.00048828125,0.041534423828125,,-0.047119140625,-0.0576171875,,,0.0478973388671875,,0.9997474551200867,-0.26848690444001866,0.13066864013671875,3.46875,0.07330773264768518,-0.26848690444001866,-0.3617747271691777,1.0859375,0.0069158077239990234,1.05078125,1.05078125,1.05078125,0.2840096950531006,0.7461726069450378,-0.7012826800346375
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, genres, or formats, such as science, history, profiles, or opinion pieces, do you usually find yourself drawn to when browsing online articles or news sites, outside of topics directly related to your hobbies or current events?","None. I only read about finance, football, hiking, and cooking.",-0.088134765625,0.214599609375,0.302734375,0.0095977783203125,0.029571533203125,0.0272216796875,0.0,0.02996826171875,,-0.04278564453125,-0.0400390625,,,0.0368194580078125,,0.9998744130134583,-0.18657564545831806,0.07040762901306152,3.064453125,0.0447241162321959,-0.18657564545831806,-0.41069395128324887,0.712890625,0.0037264153361320496,0.693359375,0.693359375,0.693359375,0.2892603874206543,0.7529889345169067,-0.6960515975952148
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of culture, such as music, art, film, or literature, do you find yourself exploring or appreciating in your daily life or conversations, even if they don't necessarily influence your online reading habits?",None.,-0.08349609375,0.214599609375,0.298095703125,0.0157012939453125,0.03912353515625,0.031829833984375,0.0,0.0374755859375,,-0.04656982421875,-0.0517578125,,,0.0475311279296875,,0.9997919797897339,-0.24118315144611846,0.10715818405151367,3.736328125,0.07316552560084195,-0.24118315144611846,-0.3890784801630779,0.955078125,0.005671486258506775,0.92578125,0.92578125,0.92578125,0.28573065996170044,0.7481772899627686,-0.6990907192230225
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"What kinds of technological advancements or innovations, such as those in transportation, energy, or healthcare, do you think have the potential to significantly impact your life or the world at large, and might you be interested in reading about?","None, I'm only interested in football, hiking, camping, and cooking.",-0.279052734375,0.214599609375,0.49365234375,0.049346923828125,0.0936279296875,0.0845947265625,0.0029296875,0.1083984375,,-0.1483154296875,-0.15087890625,,,0.133941650390625,,0.9983285069465637,-0.7030716395929302,0.27074146270751953,6.66796875,0.22994879474550325,-0.7030716395929302,-1.300341236334497,1.650390625,0.014329344034194946,1.578125,1.578125,1.578125,0.2604601979255676,0.708790123462677,-0.7111276984214783
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Running, traveling, and language learning.",-0.17041015625,0.214599609375,0.385009765625,0.019805908203125,0.049957275390625,0.0465087890625,0.0,0.05609130859375,,-0.0830078125,-0.07568359375,,,0.066314697265625,,0.9995529055595398,-0.352673476171211,-0.0018098652362823486,4.94140625,0.09229237340125641,-0.352673476171211,-0.7940841495725975,-0.8203125,-0.009745001792907715,-0.04840087890625,-0.04840087890625,-0.04840087890625,0.0013284087181091309,0.05803040415048599,-0.970686137676239
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself following or wanting to stay informed about, whether they're related to your hobbies or completely separate from them?","Medical advancements, marathon training trends, travel restrictions, and language learning technologies.",-0.0478515625,0.214599609375,0.262451171875,0.00757598876953125,0.0224456787109375,0.018585205078125,0.0,0.0194549560546875,,-0.024658203125,-0.02490234375,,,0.02616119384765625,,0.9999426603317261,-0.11604095022407586,-0.0005254447460174561,4.734375,0.0353028993788319,-0.11604095022407586,-0.22298064945018498,-0.3046875,-0.0028291940689086914,-0.0137939453125,-0.0137939453125,-0.0137939453125,0.000498652458190918,0.036000944674015045,-0.9817216396331787
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, profiles, or features, such as those about notable figures, cultural movements, or emerging communities, do you find particularly engaging or inspiring to read about online?","Stories about athletes who overcome challenges to complete marathons, medical advancements, and travel features about unique cultural experiences.",-0.372314453125,0.214599609375,0.5869140625,0.06610107421875,0.128662109375,0.1064453125,0.0029296875,0.1251220703125,,-0.186279296875,-0.16015625,,,0.17254638671875,,0.9977000951766968,-0.7463025818332722,-0.0042424798011779785,4.02734375,0.30802046346243667,-0.7463025818332722,-1.7349259714874088,-1.4326171875,-0.022843122482299805,-0.11737060546875,-0.11737060546875,-0.11737060546875,0.004011392593383789,0.0996985211968422,-0.9482037425041199
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of history, science, technology, or the arts do you find yourself drawn to when exploring online content, even if they don't directly relate to your hobbies or the current events you follow?","None. I only explore content related to running, travel, languages, or medicine.",-0.036376953125,0.214599609375,0.2509765625,0.01079559326171875,0.0343017578125,0.0186614990234375,0.0,0.022064208984375,,-0.022705078125,-0.029296875,,,0.02945709228515625,,0.9999261498451233,-0.13651876496950102,-0.000486522912979126,2.96484375,0.05030574282079269,-0.13651876496950102,-0.1695107998371304,-0.28515625,-0.002619624137878418,-0.012786865234375,-0.012786865234375,-0.012786865234375,0.0005145072937011719,0.03599247708916664,-0.9826434850692749
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"How do you like to consume information or stories about your interests, for example, do you prefer in-depth analyses, personal anecdotes, opinion pieces, podcasts, videos, or something else, and are there any particular formats or sources that you find more engaging or trustworthy than others?","I prefer videos and podcasts for running and travel, and language learning apps for new languages. For medical topics, I prefer in-depth analyses and peer-reviewed journals.",-0.063720703125,0.214599609375,0.2783203125,0.0095367431640625,0.027313232421875,0.0231781005859375,0.0,0.02618408203125,,-0.03350830078125,-0.03515625,,,0.03271484375,,0.9998985528945923,-0.16382251796340122,-0.0007200539112091064,3.5390625,0.044439702138509445,-0.16382251796340122,-0.2969283138086647,-0.400390625,-0.0038770437240600586,-0.01898193359375,-0.01898193359375,-0.01898193359375,0.0006148815155029297,0.039678893983364105,-0.9802034497261047
