object,turn,question,answer,eig,H_prior,H_post,kl,wasserstein,tv,cosine,euclidean,directional,gini_drop,margin_gain,rr_change,ndcg_gain,hybrid,js_divergence,semantic_shift,entropy_constrained_margin,surprisal_adj_belief_shift,fisher_info,normalized_kl,normalized_margin,calibrated_eig,log_odds_gain,entropy_weighted_conf_gain,cross_entropy_reduction,kl_to_truth_reduction,delta_surprisal,sem_info_cosine,sem_info_euclidean,sem_info_dot
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Football, hiking, camping, and cooking.",-0.4013671875,0.94921875,1.3505859375,0.134521484375,0.260498046875,0.23046875,0.04931640625,0.266357421875,,-0.221923828125,-0.299560546875,,,0.364990234375,,0.9844919443130493,-0.31558641642839,0.1663738489151001,4.578125,0.14171810550288744,-0.31558641642839,-0.42283950171823403,0.607421875,0.07212996482849121,0.5185546875,0.5185546875,0.5185546875,0.15669870376586914,0.5380205512046814,-0.7322069406509399
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself thinking about or discussing with others, even if they aren't directly related to your hobbies or leisure activities?",Economic trends and market analysis.,0.09033203125,0.94921875,0.85888671875,0.10260009765625,0.354736328125,0.10614013671875,0.015625,0.130615234375,,0.0048828125,-0.12060546875,,,0.208740234375,,0.9967294931411743,-0.12705761183017494,0.23265612125396729,6.34375,0.10808899063083202,-0.12705761183017494,0.09516460805094075,0.794921875,0.10086607933044434,0.6669921875,0.6669921875,0.6669921875,0.18392741680145264,0.5874138474464417,-0.7516788244247437
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, genres, or formats, such as science, history, profiles, or opinion pieces, do you usually find yourself drawn to when browsing online articles or news sites, outside of topics directly related to your hobbies or current events?","None. I only read about finance, football, hiking, and cooking.",-0.373046875,0.94921875,1.322265625,0.0943603515625,0.26708984375,0.181640625,0.025390625,0.210205078125,,-0.197021484375,-0.22607421875,,,0.2760009765625,,0.9911415576934814,-0.23816872177073278,0.09715163707733154,14.28125,0.09940843516672594,-0.23816872177073278,-0.3930041110860472,0.384765625,0.04211926460266113,0.333984375,0.333984375,0.333984375,0.17411476373672485,0.5660066604614258,-0.7229639291763306
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of culture, such as music, art, film, or literature, do you find yourself exploring or appreciating in your daily life or conversations, even if they don't necessarily influence your online reading habits?",None.,0.07568359375,0.94921875,0.87353515625,0.06365966796875,0.159423828125,0.08489990234375,0.005859375,0.08868408203125,,0.04345703125,0.05224609375,,,0.1485595703125,,0.9984838962554932,0.05504115168351708,-0.04222822189331055,9.6015625,0.06706532851157514,0.05504115168351708,0.07973250944808549,-0.2109375,-0.01830768585205078,-0.189453125,-0.189453125,-0.189453125,0.23066377639770508,0.6565424799919128,-0.708366334438324
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"What kinds of technological advancements or innovations, such as those in transportation, energy, or healthcare, do you think have the potential to significantly impact your life or the world at large, and might you be interested in reading about?","None, I'm only interested in football, hiking, camping, and cooking.",-0.400390625,0.94921875,1.349609375,0.19775390625,0.334716796875,0.300048828125,0.10205078125,0.340576171875,,-0.231689453125,-0.4580078125,,,0.497802734375,,0.9771029949188232,-0.4825102829826077,0.40464258193969727,8.6328125,0.20833333113854596,-0.4825102829826077,-0.42181069514471037,1.2080078125,0.1754293441772461,0.974609375,0.974609375,0.974609375,0.11763089895248413,0.4706931412220001,-0.7686283588409424
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Running, traveling, and language learning.",-0.3974609375,0.94921875,1.3466796875,0.13330078125,0.25830078125,0.2242431640625,0.05126953125,0.268310546875,,-0.221923828125,-0.28857421875,,,0.3575439453125,,0.9838477969169617,-0.30401234247624853,-0.07403218746185303,7.03515625,0.14043209728598283,-0.30401234247624853,-0.4187242754241393,-0.95947265625,-0.2127399444580078,-0.373779296875,-0.373779296875,-0.373779296875,0.05852729082107544,0.3450435400009155,-0.8170217275619507
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself following or wanting to stay informed about, whether they're related to your hobbies or completely separate from them?","Medical advancements, marathon training trends, travel restrictions, and language learning technologies.",-0.107421875,0.94921875,1.056640625,0.056396484375,0.145263671875,0.10443115234375,0.0087890625,0.1055908203125,,-0.063232421875,-0.07470703125,,,0.16082763671875,,0.9974155426025391,-0.07870370287456181,-0.017580628395080566,5.3671875,0.05941357962099274,-0.07870370287456181,-0.11316872308760521,-0.24951171875,-0.05051994323730469,-0.076904296875,-0.076904296875,-0.076904296875,0.023822784423828125,0.22988343238830566,-0.8787813186645508
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, profiles, or features, such as those about notable figures, cultural movements, or emerging communities, do you find particularly engaging or inspiring to read about online?","Stories about athletes who overcome challenges to complete marathons, medical advancements, and travel features about unique cultural experiences.",-0.3896484375,0.94921875,1.3388671875,0.193603515625,0.293212890625,0.28564453125,0.09814453125,0.3369140625,,-0.234619140625,-0.4228515625,,,0.479248046875,,0.9752460718154907,-0.4454732463357551,-0.08999991416931152,3.390625,0.2039609032010703,-0.4454732463357551,-0.4104938228359498,-1.1533203125,-0.2586250305175781,-0.476318359375,-0.476318359375,-0.476318359375,0.07389169931411743,0.3818459212779999,-0.8030209541320801
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of history, science, technology, or the arts do you find yourself drawn to when exploring online content, even if they don't directly relate to your hobbies or the current events you follow?","None. I only explore content related to running, travel, languages, or medicine.",-0.3759765625,0.94921875,1.3251953125,0.09075927734375,0.26220703125,0.191162109375,0.0283203125,0.2183837890625,,-0.202392578125,-0.247802734375,,,0.28192138671875,,0.9901532530784607,-0.2610596680316348,-0.06306445598602295,1.9443359375,0.09561471092685736,-0.2610596680316348,-0.39609053080661827,-0.826171875,-0.18122291564941406,-0.308837890625,-0.308837890625,-0.308837890625,0.04765164852142334,0.31480178236961365,-0.8327844738960266
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"How do you like to consume information or stories about your interests, for example, do you prefer in-depth analyses, personal anecdotes, opinion pieces, podcasts, videos, or something else, and are there any particular formats or sources that you find more engaging or trustworthy than others?","I prefer videos and podcasts for running and travel, and language learning apps for new languages. For medical topics, I prefer in-depth analyses and peer-reviewed journals.",-0.119140625,0.94921875,1.068359375,0.0537109375,0.133544921875,0.10125732421875,0.0087890625,0.10626220703125,,-0.061767578125,-0.06591796875,,,0.15496826171875,,0.9973058700561523,-0.06944444371284865,-0.016451597213745117,12.125,0.05658436154380261,-0.06944444371284865,-0.12551440196988942,-0.234375,-0.047275543212890625,-0.07177734375,-0.07177734375,-0.07177734375,0.023184537887573242,0.2277710735797882,-0.8782011270523071
