object,turn,question,answer,eig,H_prior,H_post,kl,wasserstein,tv,cosine,euclidean,directional,gini_drop,margin_gain,rr_change,ndcg_gain,hybrid,js_divergence,semantic_shift,entropy_constrained_margin,surprisal_adj_belief_shift,fisher_info,normalized_kl,normalized_margin,calibrated_eig,log_odds_gain,entropy_weighted_conf_gain,cross_entropy_reduction,kl_to_truth_reduction,delta_surprisal,sem_info_cosine,sem_info_euclidean,sem_info_dot
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Football, hiking, camping, and cooking.",-0.11474609375,0.6025390625,0.71728515625,0.109619140625,0.2413330078125,0.12548828125,0.01318359375,0.147705078125,,-0.0986328125,-0.1669921875,,,0.235107421875,,0.9962873458862305,-0.2771474832447484,0.47864413261413574,2.53515625,0.18192868417674274,-0.2771474832447484,-0.19043759813601133,2.03515625,0.07568514347076416,1.8984375,1.8984375,1.8984375,0.22137117385864258,0.647236704826355,-0.7298126816749573
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself thinking about or discussing with others, even if they aren't directly related to your hobbies or leisure activities?",Economic trends and market analysis.,0.239501953125,0.6025390625,0.363037109375,0.338134765625,0.29638671875,0.11614990234375,0.0068359375,0.11102294921875,,0.068603515625,-0.013671875,,,0.45428466796875,,0.9977102875709534,-0.022690437224716243,0.30351340770721436,6.81640625,0.5611831349327142,-0.022690437224716243,0.39748783781154706,1.609375,0.0479927659034729,1.525390625,1.525390625,1.525390625,0.2589520215988159,0.7091788053512573,-0.7182777523994446
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, genres, or formats, such as science, history, profiles, or opinion pieces, do you usually find yourself drawn to when browsing online articles or news sites, outside of topics directly related to your hobbies or current events?","None. I only read about finance, football, hiking, and cooking.",0.06201171875,0.6025390625,0.54052734375,0.0828857421875,0.210693359375,0.071533203125,0.0048828125,0.079345703125,,0.0108642578125,-0.03369140625,,,0.1544189453125,,0.9988341331481934,-0.05591572030376503,0.2560676336288452,5.3046875,0.13756077567484223,-0.05591572030376503,0.10291734026924867,1.46484375,0.04049044847488403,1.39453125,1.39453125,1.39453125,0.2554636001586914,0.7004044651985168,-0.7121003270149231
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of culture, such as music, art, film, or literature, do you find yourself exploring or appreciating in your daily life or conversations, even if they don't necessarily influence your online reading habits?",None.,0.107421875,0.6025390625,0.4951171875,0.0338134765625,0.1435546875,0.05767822265625,0.001953125,0.052703857421875,,0.0504150390625,0.03125,,,0.09149169921875,,0.999494194984436,0.051863856513637126,0.10622969269752502,5.3984375,0.05611831349327142,0.051863856513637126,0.1782820067656276,0.84375,0.016797468066215515,0.814453125,0.814453125,0.814453125,0.2729443311691284,0.7255764603614807,-0.6992296576499939
":
Education: Masters in Finance
Occupation: Financial Analyst at an international bank
Hobbies: Playing football, weekend hiking and camping trips, and cooking different cuisines.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"What kinds of technological advancements or innovations, such as those in transportation, energy, or healthcare, do you think have the potential to significantly impact your life or the world at large, and might you be interested in reading about?","None, I'm only interested in football, hiking, camping, and cooking.",0.0888671875,0.6025390625,0.513671875,0.04229736328125,0.1612548828125,0.060089111328125,0.001953125,0.055999755859375,,0.038330078125,0.013671875,,,0.102386474609375,,0.9994171857833862,0.022690437224716243,0.14373278617858887,5.61328125,0.07019854016396587,0.022690437224716243,0.14748784196065556,1.033203125,0.022727608680725098,0.994140625,0.994140625,0.994140625,0.26835817098617554,0.7189614176750183,-0.7024686336517334
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",0,What are some hobbies or activities you enjoy doing in your free time that you might also like to read about or stay updated on through online articles?,"Running, traveling, and language learning.",0.08544921875,0.6025390625,0.51708984375,0.09246826171875,0.22216796875,0.076171875,0.00390625,0.080322265625,,0.02001953125,-0.02734375,,,0.16864013671875,,0.9987916946411133,-0.045380874449432486,0.0015079975128173828,6.9921875,0.15346434105109422,-0.045380874449432486,0.14181523265447651,0.08203125,0.0058841705322265625,0.0113525390625,0.0113525390625,0.0113525390625,0.0037287473678588867,0.09446093440055847,-0.9542379379272461
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",1,"What kinds of issues or current events do you find yourself following or wanting to stay informed about, whether they're related to your hobbies or completely separate from them?","Medical advancements, marathon training trends, travel restrictions, and language learning technologies.",0.333740234375,0.6025390625,0.268798828125,0.142578125,0.20947265625,0.1025390625,0.0029296875,0.10675048828125,,0.152587890625,0.1005859375,,,0.2451171875,,0.9981615543365479,0.1669367881532695,0.013421177864074707,5.37109375,0.2366288453434694,0.1669367881532695,0.553889780110484,1.0322265625,0.052369117736816406,0.09661865234375,0.09661865234375,0.09661865234375,0.0006197690963745117,0.03952363505959511,-0.9807992577552795
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",2,"What types of stories, profiles, or features, such as those about notable figures, cultural movements, or emerging communities, do you find particularly engaging or inspiring to read about online?","Stories about athletes who overcome challenges to complete marathons, medical advancements, and travel features about unique cultural experiences.",0.212890625,0.6025390625,0.3896484375,0.1568603515625,0.245361328125,0.09771728515625,0.00439453125,0.08941650390625,,0.080810546875,0.02294921875,,,0.25457763671875,,0.9985499382019043,0.03808751962720226,0.007087588310241699,2.353515625,0.2603322485157176,0.03808751962720226,0.3533225224991529,0.4384765625,0.027655601501464844,0.05218505859375,0.05218505859375,0.05218505859375,0.002110779285430908,0.07089588046073914,-0.9673975706100464
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",3,"What aspects of history, science, technology, or the arts do you find yourself drawn to when exploring online content, even if they don't directly relate to your hobbies or the current events you follow?","None. I only explore content related to running, travel, languages, or medicine.",0.266845703125,0.6025390625,0.335693359375,0.11102294921875,0.2083740234375,0.09552001953125,0.00244140625,0.0927734375,,0.1207275390625,0.072265625,,,0.20654296875,,0.9985435009002686,0.11993516818778585,0.010706782341003418,3.96875,0.18425850585606626,0.11993516818778585,0.4428687122609795,0.7412109375,0.041777610778808594,0.07781982421875,0.07781982421875,0.07781982421875,0.0010651946067810059,0.051577065140008926,-0.9748499989509583
":
Education: Medical Doctorate
Occupation: Junior Surgeon at a regional hospital
Hobbies: Running marathons, traveling, and learning new languages.
Answer the following questions about your interests from the perspective of this person. Assume you do not have any interests other than those presented here.",4,"How do you like to consume information or stories about your interests, for example, do you prefer in-depth analyses, personal anecdotes, opinion pieces, podcasts, videos, or something else, and are there any particular formats or sources that you find more engaging or trustworthy than others?","I prefer videos and podcasts for running and travel, and language learning apps for new languages. For medical topics, I prefer in-depth analyses and peer-reviewed journals.",0.193603515625,0.6025390625,0.408935546875,0.085693359375,0.203369140625,0.0836181640625,0.001953125,0.0770263671875,,0.0843505859375,0.04296875,,,0.1693115234375,,0.9989556074142456,0.07131280270625105,0.007539987564086914,4.0625,0.1422204190334893,0.07131280270625105,0.3213127985571425,0.4736328125,0.029420852661132812,0.055419921875,0.055419921875,0.055419921875,0.0017546415328979492,0.06607762724161148,-0.9672197103500366
